FECHA_-_SEGUIMIENTO_CIERRE,count
2023-10-13 00:00:00,22988
2024-02-13 00:00:00,262
2024-02-14 00:00:00,252
2024-02-12 00:00:00,214
2021-10-26 00:00:00,210
2024-02-10 00:00:00,199
2021-10-27 00:00:00,191
2024-02-07 00:00:00,186
2021-10-25 00:00:00,167
2021-06-28 00:00:00,166
2024-02-09 00:00:00,164
2021-06-24 00:00:00,163
2024-02-15 00:00:00,156
2021-06-23 00:00:00,154
2021-06-25 00:00:00,150
2024-04-23 00:00:00,148
2024-02-08 00:00:00,147
2021-10-28 00:00:00,141
2021-08-25 00:00:00,138
2024-05-15 00:00:00,137
